QID,qname,question,GID
1,MainBranch,"Which of the following options best describes you today? For the purpose of this survey, a developer is ""someone who writes code"".*",QID1
2,Age,What is your age?*,QID1
3,Employment,Which of the following best describes your current employment status? Select all that apply.*,QID1
4,EdLevel,Which of the following best describes the highest level of formal education that youâ€™ve completed? *,QID1
5,Country,"Where do you live? <span style=""font-weight: bolder;"">*</span>",QID1
6,AISelect,Do you currently use AI tools in your development process? *,QID319
7,AIToolCurrentlyUsing,What is A I Tool Currently  Using?,QID319
8,AIThreat,Do you believe AI is a threat to your current job?,QID319
9,LearnCode,How do you learn to code? Select all that apply.,QID276
10,LearnCodeOnline,What online resources do you use to learn to code? Select all that apply.,QID276
11,LanguageHaveWorkedWith,What is Language Have Worked With?,QID233
12,LanguageWantToWorkWith,What is Language Want To Work With?,QID233
13,DatabaseHaveWorkedWith,What is Database Have Worked With?,QID262
14,DatabaseWantToWorkWith,What is Database Want To Work With?,QID262
15,WebframeHaveWorkedWith,What is Webframe Have Worked With?,QID264
16,WebframeWantToWorkWith,What is Webframe Want To Work With?,QID264
17,OpSysPersonalUse,What is Op Sys Personal use?,QID71
18,OpSysProfessionalUse,What is Op Sys Professional use?,QID71
